#wavelength [Angs] Re[epsilon] Im[epsilon]
123804.295659238 -109.279998800 31.813999180
123654.398518272 -100.250000000 26.747999190
123514.491679229 -92.446998600 22.785999300
123364.597906233 -85.638000490 19.629999160
123214.700507963 -79.654998780 17.076999660
123074.793672162 -74.372001650 14.987999920
122924.897419299 -69.675003050 13.255999570
122784.995317072 -65.469001770 11.803999900
122635.105298281 -61.692001340 10.576000210
122485.208466510 -58.278999330 9.529700279
122345.304899359 -55.179000850 8.628999710
122205.397514400 -52.355998990 7.849999905
122055.506053049 -49.772998810 7.171199799
121915.598369136 -47.398998260 6.575699806
121765.699653412 -45.214000700 6.051400185
121625.796301900 -43.194999690 5.587100029
121485.894857823 -41.321998600 5.173500061
121345.996367009 -39.583999630 4.804299831
121196.101740652 -37.964000700 4.473100185
121056.198193561 -36.450000760 4.174399853
120916.291684742 -35.034999850 3.904900074
120776.392646746 -33.708000180 3.660500050
120636.483653589 -32.458999630 3.438100100
120496.584350570 -31.285999300 3.235399961
120356.677338769 -30.179000850 3.049999952
120216.773056509 -29.131999970 2.879899979
120076.872568314 -28.143999100 2.723799944
119936.967817200 -27.207000730 2.579900026
119797.069160981 -26.316999440 2.447000027
119657.159404754 -25.472999570 2.324100018
119527.255689995 -24.670000080 2.210299969
119387.349399802 -23.905000690 2.104500055
119247.444525524 -23.176000600 2.006099939
119107.542254599 -22.479999540 1.914499998
118977.630677140 -21.813999180 1.828899980
118837.731484199 -21.179000850 1.748999953
118697.829202538 -20.569999690 1.674200058
118567.914950058 -19.986000060 1.603999972
118428.013321587 -19.427000050 1.538200021
118298.101037818 -18.889999390 1.476300001
118158.204377540 -18.374000550 1.417999983
118028.289228105 -17.878000260 1.363199949
117888.384170206 -17.402000430 1.311400056
117758.479040420 -16.941999440 1.262500048
117628.569444183 -16.500000000 1.216300011
117488.661284958 -16.072999950 1.172600031
117358.750127337 -15.661000250 1.131199956
117228.846136263 -15.263999940 1.092000008
117088.944645329 -14.880000110 1.054700017
116959.027727960 -14.508999820 1.019299984
116829.120886187 -14.149999620 0.985679984
116699.207704749 -13.803999900 0.953689992
116569.297799478 -13.467000010 0.923200011
116429.395518767 -13.142000200 0.894169986
116299.491562181 -12.826999660 0.866479993
116169.576632771 -12.520999910 0.840030015
116039.668931951 -12.223999980 0.814800024
115909.760824294 -11.937000270 0.790690005
115779.844791537 -11.656999590 0.767600000
115649.938817174 -11.385999680 0.745540023
115530.020824394 -11.121999740 0.724409997
115400.106878123 -10.866000180 0.704140007
115270.197356186 -10.616000180 0.684729993
115140.293214345 -10.373999600 0.666109979
115010.378549447 -10.137999530 0.648220003
114880.471239133 -9.908300400 0.631060004
114760.550837339 -9.684599876 0.614570022
114630.646852596 -9.466500282 0.598710001
114500.736364434 -9.254199982 0.583459973
114380.816265847 -9.046999931 0.568769991
114250.906375470 -8.845199585 0.554650009
114130.986605179 -8.648300171 0.541050017
114001.081007652 -8.456000328 0.527920008
113871.165521024 -8.268500328 0.515280008
113751.250935251 -8.085499763 0.503090024
113621.345390474 -7.906499863 0.491320014
113501.423301252 -7.731900215 0.479959995
113381.508767511 -7.561299801 0.469000012
113251.597229195 -7.394299984 0.458400011
113131.680378454 -7.231299877 0.448159993
113001.771708058 -7.071800232 0.438259989
112881.856130327 -6.915699959 0.428680003
112761.935894855 -6.763100147 0.419409990
112642.019925333 -6.613800049 0.410450011
112512.113230115 -6.467500210 0.401760012
112392.189279039 -6.324500084 0.393350005
112272.272085525 -6.184299946 0.385210007
112152.362465712 -6.046999931 0.377310008
112032.445155233 -5.912600040 0.369650006
111912.521065897 -5.780799866 0.362230003
111782.613145962 -5.651599884 0.355019987
111662.699449017 -5.525000095 0.348040015
111542.781580241 -5.401000023 0.341250002
111422.860311662 -5.279200077 0.334659994
111302.944387751 -5.159800053 0.328269988
111183.026812418 -5.042799950 0.322050005
111063.116164996 -4.927800179 0.316009998
110953.190795171 -4.815000057 0.310139984
110833.274980500 -4.704400063 0.304430008
110713.352900750 -4.595699787 0.298880011
110593.441103443 -4.488999844 0.293480009
110473.516956140 -4.384300232 0.288230002
110353.604699765 -4.281300068 0.283109993
110243.679054121 -4.180300236 0.278129995
110123.763431284 -4.080999851 0.273290008
110003.846635545 -3.983400106 0.268559992
109893.924793816 -3.887500048 0.263969988
109774.001775275 -3.793299913 0.259490013
109654.087767052 -3.700599909 0.255120009
109544.161057394 -3.609499931 0.250860006
109424.245588273 -3.519900084 0.246710002
109314.322877027 -3.431699991 0.242660001
109194.409147562 -3.345099926 0.238710001
109084.485626752 -3.259900093 0.234860003
108964.561658468 -3.175899982 0.231099993
108854.640345930 -3.093400002 0.227430001
108734.724449282 -3.012200117 0.223849997
108624.800671058 -2.932199955 0.220349997
108504.880997526 -2.853499889 0.216940001
108394.957760572 -2.776099920 0.213609993
108285.033215989 -2.699700117 0.210340008
108165.117803515 -2.624599934 0.207159996
108055.198110304 -2.550699949 0.204050004
107945.271771770 -2.477799892 0.201010004
107835.346956951 -2.405999899 0.198039994
107715.428309721 -2.335299969 0.195130005
107605.506739001 -2.265599966 0.192290008
107495.581410794 -2.196899891 0.189510003
107385.660304953 -2.129300117 0.186790004
107275.736790353 -2.062599897 0.184119999
107165.811609729 -1.996799946 0.181520000
107055.885426180 -1.932100058 0.178969994
106945.966225292 -1.868100047 0.176479995
106836.040114182 -1.805199981 0.174040005
106726.115125697 -1.743100047 0.171650007
106616.191911811 -1.681800008 0.169300005
106506.263932710 -1.621399999 0.167009994
106396.346379635 -1.561800003 0.164760008
106286.418259654 -1.503000021 0.162560001
106176.494705527 -1.445000052 0.160410002
106066.569262981 -1.387799978 0.158289999
105956.649726993 -1.331300020 0.156220004
105846.722604174 -1.275599957 0.154190004
105736.802821555 -1.220600009 0.152199998
105636.872280545 -1.166300058 0.150250003
105526.948444280 -1.112699986 0.148330003
105417.019795316 -1.059900045 0.146459997
105307.094143162 -1.007599950 0.144620001
105207.163970856 -0.956099987 0.142810002
105097.239641057 -0.905219972 0.141039997
104987.320390704 -0.854929984 0.139300004
104887.386956397 -0.805320024 0.137600005
104777.465940125 -0.756320000 0.135920003
104677.534050007 -0.707870007 0.134279996
104567.606981986 -0.660070002 0.132670000
104457.688422922 -0.612800002 0.131080002
104357.755539654 -0.566150010 0.129529998
104247.828052005 -0.520060003 0.128000006
104147.902788785 -0.474469990 0.126499996
104037.975963148 -0.429470003 0.125029996
103938.046897352 -0.385010004 0.123580001
103838.117481150 -0.341019988 0.122160003
103728.192994819 -0.297580004 0.120760001
103628.256599371 -0.254649997 0.119390003
103518.332586240 -0.212180004 0.118040003
103418.405281568 -0.170230001 0.116719998
103318.473734300 -0.128759995 0.115410000
103208.548230679 -0.087720998 0.114129998
103108.622578802 -0.047187001 0.112870000
103008.687710490 -0.007106600 0.111639999
102908.757735588 0.032566000 0.110419996
102808.826419598 0.071759000 0.109219998
102698.901790407 0.110519998 0.108050004
102598.968891315 0.148890004 0.106890000
102499.043148387 0.186810002 0.105750002
102399.111726635 0.224309996 0.104630001
102299.181860513 0.261449993 0.103529997
102199.247526122 0.298150003 0.102440000
102099.315892513 0.334459990 0.101379998
101999.387550738 0.370420009 0.100330003
101889.462201654 0.405959994 0.099294998
101789.535301185 0.441130012 0.098278001
101689.600254777 0.475959986 0.097277001
101589.670837607 0.510399997 0.096291997
101499.735663391 0.544480026 0.095321998
101399.799478983 0.578249991 0.094365999
101299.870538009 0.611630023 0.093425997
101199.942888175 0.644670010 0.092501000
101100.010592128 0.677410007 0.091587998
101000.080794012 0.709789991 0.090691000
100900.147509462 0.741840005 0.089805998
100800.217886195 0.773599982 0.088935003
100710.280582198 0.805019975 0.088077001
100610.346510032 0.836120009 0.087231003
100510.417749815 0.866949975 0.086397998
100410.488436786 0.897440016 0.085577004
100320.547002020 0.927640021 0.084769003
100220.617672277 0.957570016 0.083971001
100120.689543927 0.987179995 0.083186001
100020.756764226 1.016499996 0.082411997
99928.818058894 1.045600057 0.081648998
99736.952739075 1.102900028 0.080155998
99641.018181508 1.131100059 0.079424001
99545.085180973 1.159100056 0.078704000
99449.154228036 1.186800003 0.077992998
99354.218154931 1.214200020 0.077292003
99259.281392971 1.241400003 0.076601997
99164.350697432 1.268399954 0.075920001
99069.414080220 1.295099974 0.075248003
98974.478337423 1.321499944 0.074584998
98880.545479604 1.347700000 0.073932000
98785.611080139 1.373700023 0.073287003
98691.676773622 1.399500012 0.072650999
98597.741583160 1.424999952 0.072022997
98503.806023410 1.450299978 0.071404003
98410.868746920 1.475299954 0.070793003
98316.938206330 1.500100017 0.070189998
98224.003160012 1.524799943 0.069595002
98131.065980382 1.549200058 0.069008000
97945.193372609 1.597300053 0.067856997
97853.257965720 1.621099949 0.067293003
97761.318659126 1.644600034 0.066735998
97668.386696270 1.667999983 0.066186003
97576.449040066 1.691200018 0.065642998
97484.514969137 1.714100003 0.065107003
97393.574743888 1.736899972 0.064577997
97301.641474094 1.759500027 0.064056002
97210.705249784 1.781800032 0.063539997
97119.764821301 1.804000020 0.063029997
97028.826686923 1.826099992 0.062527999
96846.953119013 1.869500041 0.061540000
96757.019260759 1.891000032 0.061055999
96666.081105264 1.912299991 0.060578000
96576.144487278 1.933400035 0.060105000
96486.203277055 1.954300046 0.059638001
96396.263918519 1.975100040 0.059177000
96307.330005891 1.995700002 0.058720998
96217.387920300 2.016200066 0.058270998
96128.454379101 2.036400080 0.057827000
95950.575860652 2.076499939 0.056953002
95861.637661536 2.096299887 0.056524001
95772.700804144 2.115900040 0.056100000
95684.755979094 2.135400057 0.055681001
95595.821255616 2.154799938 0.055266999
95507.881617300 2.173899889 0.054857999
95419.941442695 2.193000078 0.054453999
95333.001463535 2.211800098 0.054053999
95157.124400277 2.249200106 0.053268999
95070.185179822 2.267699957 0.052882001
94983.243946535 2.286000013 0.052501000
94896.306914279 2.304100037 0.052124001
94809.363012561 2.322200060 0.051750999
94722.424148833 2.340100050 0.051382001
94549.547173008 2.375499964 0.050657000
94463.606220632 2.392999887 0.050299998
94377.662731227 2.410300016 0.049947999
94291.722720176 2.427599907 0.049598999
94205.781000352 2.444700003 0.049254999
94119.843622959 2.461699963 0.048914000
94034.901149924 2.478600025 0.048576999
93865.021270513 2.511899948 0.047913998
93779.077494786 2.528399944 0.047587000
93695.134100667 2.544800043 0.047265001
93610.197893718 2.561100006 0.046946000
